num_features,PyTorch,Triton,CUDA
512.000000,56.827228,221.405396,221.405396
1024.000000,57.887599,225.016305,227.852232
2048.000000,58.532250,228.249018,232.397168
4096.000000,58.979173,230.494257,235.853681
8192.000000,59.259580,232.274911,241.541275
16384.000000,59.415083,235.248475,247.824390
32768.000000,59.524069,236.428691,249.730638
65536.000000,59.650573,235.907572,251.413272
