N,PyTorch,Triton,CUDA
128.000000,34.133333,52.681672,63.279049
256.000000,40.692953,111.455780,145.205323
512.000000,42.885374,147.202993,157.538467
1024.000000,43.728321,158.435054,161.967251
2048.000000,44.794350,159.067963,160.238797
4096.000000,45.406006,148.149293,155.311999
8192.000000,45.724785,144.763457,151.316952
16384.000000,45.898915,136.534810,148.208623
32768.000000,46.041860,135.507764,144.279594
65536.000000,46.098006,135.700664,141.153149
